Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,0.312,31.215,914.172
0.02,-0.001,0.269,26.879,914.172
0.03,0.001,0.253,25.34,914.172
0.04,0.008,1.194,94.1,914.172
0.05,0.028,2.739,154.551,914.171
0.06,0.063,4.389,164.947,914.171
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.115,6.058,166.997,914.17
0.08,0.183,7.748,169.047,914.168
0.09,0.269,9.459,171.099,914.167
0.1,0.371,11.19,173.151,914.165
0.11,0.491,12.942,175.204,914.162
0.12,0.628,14.714,177.258,914.16
0.13,0.783,16.507,179.313,914.157
0.14,0.955,18.32,181.369,914.153
0.15,1.146,20.154,183.426,914.149
0.16,1.355,22.009,185.483,914.145
0.17,1.583,23.884,187.541,914.141
0.18,1.829,25.78,189.601,914.136
0.19,2.094,27.696,191.661,914.131
0.2,2.378,29.624,192.844,914.126
0.21,2.681,31.555,193.143,914.12
0.22,3.004,33.489,193.442,914.113
0.23,3.345,35.426,193.741,914.107
0.24,3.706,37.366,194.04,914.1
0.25,4.086,39.309,194.338,914.092
0.26,4.486,41.255,194.636,914.085
0.27,4.904,43.204,194.934,914.076
0.28,5.342,45.156,195.232,914.068
0.29,5.8,47.111,195.529,914.059
0.3,6.277,49.069,195.826,914.05
0.31,6.773,51.03,196.121,914.04
0.32,7.288,52.994,196.417,914.03
0.33,7.824,54.96,196.712,914.02
0.34,8.378,56.93,197.006,914.009
0.35,8.952,58.903,197.301,913.998
0.36,9.546,60.878,197.594,913.986
0.37,10.16,62.857,197.888,913.974
0.38,10.793,64.839,198.181,913.962
0.39,11.445,66.823,198.473,913.949
# Event LAUNCHROD occurred at t=0.4 seconds
0.4,12.118,68.81,198.766,913.936
0.415,13.163,71.797,199.19,913.916
0.438,14.814,76.288,199.758,913.884
0.471,17.479,83.054,200.604,913.832
0.521,21.843,93.127,201.663,913.747
0.571,26.707,103.257,202.767,913.652
0.621,32.072,113.442,203.859,913.548
0.671,37.943,123.682,204.939,913.433
0.721,44.321,133.976,206.006,913.309
0.771,51.209,144.322,207.059,913.175
0.821,58.61,154.698,207.623,913.031
0.871,66.523,165.079,207.735,912.877
0.921,74.95,175.465,207.831,912.713
0.971,83.89,185.856,207.911,912.539
1.021,93.344,196.25,207.976,912.355
